,id_match,team_name,tno
0,961578,AGUADA,2
1,961578,ATENAS,1
2,961579,D SPORTING,2
3,961579,BIGUA,1
4,961580,URUNDAY UNIVERSITARIO,2
5,961580,HEBRAICA Y MACABI,1
6,961581,OLIMPIA,2
7,961581,TROUVILLE,1
8,961582,VERDIRROJO,2
9,961582,WELCOME,1
10,961584,NACIONAL,2
11,961584,MALVIN,1
12,961585,AGUADA,2
13,961585,D SPORTING,1
14,961586,BIGUA,2
15,961586,URUNDAY UNIVERSITARIO,1
16,961587,HEBRAICA Y MACABI,2
17,961587,OLIMPIA,1
18,961588,TROUVILLE,2
19,961588,VERDIRROJO,1
20,961589,WELCOME,2
21,961589,SAYAGO,1
22,961590,GOES,2
23,961590,NACIONAL,1
24,961591,MALVIN,2
25,961591,ATENAS,1
26,961592,URUNDAY UNIVERSITARIO,2
27,961592,AGUADA,1
28,961593,OLIMPIA,2
29,961593,BIGUA,1
30,961594,VERDIRROJO,2
31,961594,HEBRAICA Y MACABI,1
32,961595,SAYAGO,2
33,961595,TROUVILLE,1
34,961596,NACIONAL,2
35,961596,WELCOME,1
36,961597,MALVIN,2
37,961597,GOES,1
38,961598,ATENAS,2
39,961598,D SPORTING,1
40,961599,AGUADA,2
41,961599,OLIMPIA,1
42,961600,BIGUA,2
43,961600,VERDIRROJO,1
44,961601,D SPORTING,2
45,961601,URUNDAY UNIVERSITARIO,1
46,961602,HEBRAICA Y MACABI,2
47,961602,SAYAGO,1
48,961603,TROUVILLE,2
49,961603,NACIONAL,1
50,961604,AGUADA,2
51,961604,VERDIRROJO,1
52,961605,WELCOME,2
53,961605,MALVIN,1
54,961606,SAYAGO,2
55,961606,BIGUA,1
56,961607,GOES,2
57,961607,ATENAS,1
58,961608,NACIONAL,2
59,961608,HEBRAICA Y MACABI,1
60,961609,MALVIN,2
61,961609,TROUVILLE,1
62,961610,HEBRAICA Y MACABI,2
63,961610,MALVIN,1
64,961611,GOES,2
65,961611,WELCOME,1
66,961612,TROUVILLE,2
67,961612,GOES,1
68,961613,OLIMPIA,2
69,961613,D SPORTING,1
70,961614,WELCOME,2
71,961614,ATENAS,1
72,961615,ATENAS,2
73,961615,URUNDAY UNIVERSITARIO,1
74,961616,D SPORTING,2
75,961616,VERDIRROJO,1
76,961617,AGUADA,2
77,961617,SAYAGO,1
78,961618,URUNDAY UNIVERSITARIO,2
79,961618,OLIMPIA,1
80,961619,BIGUA,2
81,961619,NACIONAL,1
82,961620,AGUADA,2
83,961620,NACIONAL,1
84,961621,MALVIN,2
85,961621,BIGUA,1
86,961622,GOES,2
87,961622,HEBRAICA Y MACABI,1
88,961623,WELCOME,2
89,961623,TROUVILLE,1
90,961624,SAYAGO,2
91,961624,D SPORTING,1
92,961625,VERDIRROJO,2
93,961625,URUNDAY UNIVERSITARIO,1
94,961626,OLIMPIA,2
95,961626,ATENAS,1
96,961627,AGUADA,2
97,961627,MALVIN,1
98,961628,BIGUA,2
99,961628,GOES,1
100,961629,HEBRAICA Y MACABI,2
101,961629,WELCOME,1
102,961630,ATENAS,2
103,961630,TROUVILLE,1
104,961631,D SPORTING,2
105,961631,NACIONAL,1
106,961632,URUNDAY UNIVERSITARIO,2
107,961632,SAYAGO,1
108,961633,OLIMPIA,2
109,961633,VERDIRROJO,1
110,961634,GOES,2
111,961634,AGUADA,1
112,961635,WELCOME,2
113,961635,BIGUA,1
114,961636,TROUVILLE,2
115,961636,HEBRAICA Y MACABI,1
116,961637,MALVIN,2
117,961637,D SPORTING,1
118,961638,NACIONAL,2
119,961638,URUNDAY UNIVERSITARIO,1
120,961639,SAYAGO,2
121,961639,OLIMPIA,1
122,961640,VERDIRROJO,2
123,961640,ATENAS,1
124,961641,AGUADA,2
125,961641,WELCOME,1
126,961642,BIGUA,2
127,961642,TROUVILLE,1
128,961643,ATENAS,2
129,961643,HEBRAICA Y MACABI,1
130,961644,D SPORTING,2
131,961644,GOES,1
132,961645,URUNDAY UNIVERSITARIO,2
133,961645,MALVIN,1
134,961646,AGUADA,2
135,961646,HEBRAICA Y MACABI,1
136,961647,OLIMPIA,2
137,961647,NACIONAL,1
138,961648,ATENAS,2
139,961648,BIGUA,1
140,961649,VERDIRROJO,2
141,961649,SAYAGO,1
142,961650,D SPORTING,2
143,961650,TROUVILLE,1
144,961651,AGUADA,2
145,961651,TROUVILLE,1
146,961652,URUNDAY UNIVERSITARIO,2
147,961652,WELCOME,1
148,961653,HEBRAICA Y MACABI,2
149,961653,BIGUA,1
150,961654,OLIMPIA,2
151,961654,GOES,1
152,961655,WELCOME,2
153,961655,D SPORTING,1
154,961656,VERDIRROJO,2
155,961656,MALVIN,1
156,961657,GOES,2
157,961657,URUNDAY UNIVERSITARIO,1
158,961658,SAYAGO,2
159,961658,NACIONAL,1
160,961659,MALVIN,2
161,961659,OLIMPIA,1
162,961660,BIGUA,2
163,961660,AGUADA,1
164,961661,NACIONAL,2
165,961661,VERDIRROJO,1
166,961662,HEBRAICA Y MACABI,2
167,961662,D SPORTING,1
168,961663,SAYAGO,2
169,961663,ATENAS,1
170,961664,TROUVILLE,2
171,961664,URUNDAY UNIVERSITARIO,1
172,961665,WELCOME,2
173,961665,OLIMPIA,1
174,961666,GOES,2
175,961666,VERDIRROJO,1
176,961667,MALVIN,2
177,961667,SAYAGO,1
178,961668,NACIONAL,2
179,961668,ATENAS,1
180,961669,ATENAS,2
181,961669,AGUADA,1
182,961670,BIGUA,2
183,961670,D SPORTING,1
184,961671,HEBRAICA Y MACABI,2
185,961671,URUNDAY UNIVERSITARIO,1
186,961672,TROUVILLE,2
187,961672,OLIMPIA,1
188,961673,WELCOME,2
189,961673,VERDIRROJO,1
190,961674,GOES,2
191,961674,SAYAGO,1
192,961675,MALVIN,2
193,961675,NACIONAL,1
194,961676,D SPORTING,2
195,961676,AGUADA,1
196,961677,URUNDAY UNIVERSITARIO,2
197,961677,BIGUA,1
198,961678,OLIMPIA,2
199,961678,HEBRAICA Y MACABI,1
200,961679,VERDIRROJO,2
201,961679,TROUVILLE,1
202,961680,SAYAGO,2
203,961680,WELCOME,1
204,961681,NACIONAL,2
205,961681,GOES,1
206,961682,ATENAS,2
207,961682,MALVIN,1
208,961683,AGUADA,2
209,961683,URUNDAY UNIVERSITARIO,1
210,961684,BIGUA,2
211,961684,OLIMPIA,1
212,961685,HEBRAICA Y MACABI,2
213,961685,VERDIRROJO,1
214,961686,TROUVILLE,2
215,961686,SAYAGO,1
216,961687,ATENAS,2
217,961687,GOES,1
218,961688,WELCOME,2
219,961688,NACIONAL,1
220,961689,URUNDAY UNIVERSITARIO,2
221,961689,D SPORTING,1
222,961690,GOES,2
223,961690,MALVIN,1
224,961691,VERDIRROJO,2
225,961691,AGUADA,1
226,961692,D SPORTING,2
227,961692,ATENAS,1
228,961693,BIGUA,2
229,961693,SAYAGO,1
230,961694,OLIMPIA,2
231,961694,AGUADA,1
232,961695,HEBRAICA Y MACABI,2
233,961695,NACIONAL,1
234,961696,VERDIRROJO,2
235,961696,BIGUA,1
236,961697,TROUVILLE,2
237,961697,MALVIN,1
238,961698,SAYAGO,2
239,961698,HEBRAICA Y MACABI,1
240,961699,WELCOME,2
241,961699,GOES,1
242,961700,NACIONAL,2
243,961700,TROUVILLE,1
244,961701,D SPORTING,2
245,961701,OLIMPIA,1
246,961702,MALVIN,2
247,961702,WELCOME,1
248,961703,URUNDAY UNIVERSITARIO,2
249,961703,ATENAS,1
250,961704,SAYAGO,2
251,961704,AGUADA,1
252,961705,NACIONAL,2
253,961705,BIGUA,1
254,961707,GOES,2
255,961707,TROUVILLE,1
256,961708,ATENAS,2
257,961708,WELCOME,1
258,961709,VERDIRROJO,2
259,961709,D SPORTING,1
260,961710,OLIMPIA,2
261,961710,URUNDAY UNIVERSITARIO,1
262,961711,NACIONAL,2
263,961711,AGUADA,1
264,961712,BIGUA,2
265,961712,MALVIN,1
266,961713,HEBRAICA Y MACABI,2
267,961713,GOES,1
268,961714,TROUVILLE,2
269,961714,WELCOME,1
270,961715,D SPORTING,2
271,961715,SAYAGO,1
272,961716,URUNDAY UNIVERSITARIO,2
273,961716,VERDIRROJO,1
274,961717,ATENAS,2
275,961717,OLIMPIA,1
276,961718,MALVIN,2
277,961718,AGUADA,1
278,961719,GOES,2
279,961719,BIGUA,1
280,961720,VERDIRROJO,2
281,961720,OLIMPIA,1
282,961721,WELCOME,2
283,961721,HEBRAICA Y MACABI,1
284,961722,AGUADA,2
285,961722,GOES,1
286,961723,TROUVILLE,2
287,961723,ATENAS,1
288,961724,BIGUA,2
289,961724,WELCOME,1
290,961725,NACIONAL,2
291,961725,D SPORTING,1
292,961726,HEBRAICA Y MACABI,2
293,961726,TROUVILLE,1
294,961727,SAYAGO,2
295,961727,URUNDAY UNIVERSITARIO,1
296,961728,D SPORTING,2
297,961728,MALVIN,1
298,961729,URUNDAY UNIVERSITARIO,2
